Category	Type	Alias	Name	Args	Args Transform	Description	Link
Memory	Modify	m_lock	mlockall			"Locks the calling process's virtual address space into RAM, preventing that memory from being paged to the swap area."	https://man7.org/linux/man-pages/man2/mlockall.2.html
Memory	Modify	m_unlock	munlock			"Unlocks the calling process's virtual address space into RAM, preventing that memory from being paged to the swap area."	https://man7.org/linux/man-pages/man2/munlock.2.html
Memory	Modify	m_unlock	munlockall			"Unlocks the calling process's virtual address space into RAM, preventing that memory from being paged to the swap area."	https://man7.org/linux/man-pages/man2/munlockall.2.html
Network	Create	socket	socket			Creates an endpoint for communication and returns a file descriptor that refers to that endpoint.	https://man7.org/linux/man-pages/man2/socket.2.html
Network	Modify	bind	bind			Assigns the given socket with the specified address.	https://man7.org/linux/man-pages/man2/bind.2.html
Network	Modify	listen	listen			Marks the given socket as passive that it will be used with the accept method to process incoming connections.	https://man7.org/linux/man-pages/man2/listen.2.html
Network	Modify	accept	accept			Extracts the first connection request on the queue of pending connections for the listening socket.	https://man7.org/linux/man-pages/man2/accept.2.html
Network	Modify	accept	accept4			Extracts the first connection request on the queue of pending connections for the listening socket.	https://man7.org/linux/man-pages/man2/accept4.2.html
Network	Modify	connect	connect			Connects the given socket.	https://man7.org/linux/man-pages/man2/connect.2.html
Network	Read	recv	recv			Receives a message from the given socket.	https://man7.org/linux/man-pages/man2/recv.2.html
Network	Read	recv	recvfrom			Receives a message from the given socket.	https://man7.org/linux/man-pages/man2/recvfrom.2.html
Network	Read	recv	recvmsg			Receives a message from the given socket.	https://man7.org/linux/man-pages/man2/recvmsg.2.html
Network	Read	recv	recvmmsg			Receives multiple messages from the given socket.	https://man7.org/linux/man-pages/man2/recvmmsg.2.html
Network	Modify	send	send			Sends the given message to the specified connected socket.	https://man7.org/linux/man-pages/man2/send.2.html
Network	Modify	send	sendto			Sends the given message to the specified connected socket.	https://man7.org/linux/man-pages/man2/sendto.2.html
Network	Modify	send	sendmsg			Sends the given message to the specified connected socket.	https://man7.org/linux/man-pages/man2/sendmsg.2.html
Network	Modify	send	sendmmsg			Sends the given messages to the specified connected socket.	https://man7.org/linux/man-pages/man2/sendmmsg.2.html
Network	Modify	shutdown	shutdown			Shuts down part of a full-duplex connection.	https://man7.org/linux/man-pages/man2/shutdown.2.html
